name,start,type,color,end,timed
New Year's Day,2021-01-01,Holiday,green,,
Human Rights Day,2021-03-21,Holiday,green,,
Public Holiday,2021-03-22,Holiday,green,,
Good Friday,2021-04-02,Holiday,green,,
Family Day,2021-04-05,Holiday,green,,
Special School Holiday,2021-04-26,Holiday,green,,
Freedom Day,2021-04-27,Holiday,green,,
Worker's Day,2021-05-01,Holiday,green,,
Youth Day,2021-06-16,Holiday,green,,
Women's Day,2021-08-09,Holiday,green,,
Heritage Day,2021-09-25,Holiday,green,,
Christmas,2021-12-25,Holiday,green,,
Day of Goodwill,2021-12-26,Holiday,green,,
School Holiday,2021-04-24,Holiday,green,,
School Holiday,2021-04-25,Holiday,green,,
School Holiday,2021-04-26,Holiday,green,,
School Holiday,2021-04-27,Holiday,green,,
School Holiday,2021-04-28,Holiday,green,,
School Holiday,2021-04-29,Holiday,green,,
School Holiday,2021-04-30,Holiday,green,,
School Holiday,2021-05-01,Holiday,green,,
School Holiday,2021-05-02,Holiday,green,,
School Holiday,2021-07-10,Holiday,green,,
School Holiday,2021-07-11,Holiday,green,,
School Holiday,2021-07-12,Holiday,green,,
School Holiday,2021-07-13,Holiday,green,,
School Holiday,2021-07-14,Holiday,green,,
School Holiday,2021-07-15,Holiday,green,,
School Holiday,2021-07-16,Holiday,green,,
School Holiday,2021-07-17,Holiday,green,,
School Holiday,2021-07-18,Holiday,green,,
School Holiday,2021-07-19,Holiday,green,,
School Holiday,2021-07-20,Holiday,green,,
School Holiday,2021-07-21,Holiday,green,,
School Holiday,2021-07-22,Holiday,green,,
School Holiday,2021-07-23,Holiday,green,,
School Holiday,2021-07-24,Holiday,green,,
School Holiday,2021-07-25,Holiday,green,,
School Holiday,2021-10-02,Holiday,green,,
School Holiday,2021-10-03,Holiday,green,,
School Holiday,2021-10-04,Holiday,green,,
School Holiday,2021-10-05,Holiday,green,,
School Holiday,2021-10-06,Holiday,green,,
School Holiday,2021-10-07,Holiday,green,,
School Holiday,2021-10-08,Holiday,green,,
School Holiday,2021-10-09,Holiday,green,,
School Holiday,2021-10-10,Holiday,green,,
day6 A,2021-02-28T22:00:00.000Z,School,light-blue,2021-02-28T22:00:00.000Z,false
day6 B,2021-03-01T22:00:00.000Z,School,light-blue,2021-03-01T22:00:00.000Z,false
day7 A,2021-03-02T22:00:00.000Z,School,light-blue,2021-03-02T22:00:00.000Z,false
day7 B,2021-03-03T22:00:00.000Z,School,light-blue,2021-03-03T22:00:00.000Z,false
day8 A,2021-03-04T22:00:00.000Z,School,light-blue,2021-03-04T22:00:00.000Z,false
day8 B,2021-03-07T22:00:00.000Z,School,light-blue,2021-03-07T22:00:00.000Z,false
day9 A,2021-03-08T22:00:00.000Z,School,light-blue,2021-03-08T22:00:00.000Z,false
day9 B,2021-03-09T22:00:00.000Z,School,light-blue,2021-03-09T22:00:00.000Z,false
day10 A,2021-03-10T22:00:00.000Z,School,light-blue,2021-03-10T22:00:00.000Z,false
day10 B,2021-03-11T22:00:00.000Z,School,light-blue,2021-03-11T22:00:00.000Z,false
day1 A,2021-03-14T22:00:00.000Z,School,light-blue,2021-03-14T22:00:00.000Z,false
day1 B,2021-03-15T22:00:00.000Z,School,light-blue,2021-03-15T22:00:00.000Z,false
day2 A,2021-03-16T22:00:00.000Z,School,light-blue,2021-03-16T22:00:00.000Z,false
day2 B,2021-03-17T22:00:00.000Z,School,light-blue,2021-03-17T22:00:00.000Z,false
day3 A,2021-03-18T22:00:00.000Z,School,light-blue,2021-03-18T22:00:00.000Z,false
day3 B,2021-03-22T22:00:00.000Z,School,light-blue,2021-03-22T22:00:00.000Z,false
day4 A,2021-03-23T22:00:00.000Z,School,light-blue,2021-03-23T22:00:00.000Z,false
day4 B,2021-03-24T22:00:00.000Z,School,light-blue,2021-03-24T22:00:00.000Z,false
day5 A,2021-03-25T22:00:00.000Z,School,light-blue,2021-03-25T22:00:00.000Z,false
day5 B,2021-03-28T22:00:00.000Z,School,light-blue,2021-03-28T22:00:00.000Z,false
day6 A,2021-03-29T22:00:00.000Z,School,light-blue,2021-03-29T22:00:00.000Z,false
day6 B,2021-03-30T22:00:00.000Z,School,light-blue,2021-03-30T22:00:00.000Z,false
day7 A,2021-03-31T22:00:00.000Z,School,light-blue,2021-03-31T22:00:00.000Z,false
day7 B,2021-04-05T22:00:00.000Z,School,light-blue,2021-04-05T22:00:00.000Z,false
day8 A,2021-04-06T22:00:00.000Z,School,light-blue,2021-04-06T22:00:00.000Z,false
day8 B,2021-04-07T22:00:00.000Z,School,light-blue,2021-04-07T22:00:00.000Z,false
day9 A,2021-04-08T22:00:00.000Z,School,light-blue,2021-04-08T22:00:00.000Z,false
day9 B,2021-04-11T22:00:00.000Z,School,light-blue,2021-04-11T22:00:00.000Z,false
day10 A,2021-04-12T22:00:00.000Z,School,light-blue,2021-04-12T22:00:00.000Z,false
day10 B,2021-04-13T22:00:00.000Z,School,light-blue,2021-04-13T22:00:00.000Z,false
day1 A,2021-04-14T22:00:00.000Z,School,light-blue,2021-04-14T22:00:00.000Z,false
day1 B,2021-04-15T22:00:00.000Z,School,light-blue,2021-04-15T22:00:00.000Z,false
day2 A,2021-04-18T22:00:00.000Z,School,light-blue,2021-04-18T22:00:00.000Z,false
day2 B,2021-04-19T22:00:00.000Z,School,light-blue,2021-04-19T22:00:00.000Z,false
day3 A,2021-04-20T22:00:00.000Z,School,light-blue,2021-04-20T22:00:00.000Z,false
day3 B,2021-04-21T22:00:00.000Z,School,light-blue,2021-04-21T22:00:00.000Z,false
day4 A,2021-04-22T22:00:00.000Z,School,light-blue,2021-04-22T22:00:00.000Z,false
day4 B,2021-05-02T22:00:00.000Z,School,light-blue,2021-05-02T22:00:00.000Z,false
day5 A,2021-05-03T22:00:00.000Z,School,light-blue,2021-05-03T22:00:00.000Z,false
day5 B,2021-05-04T22:00:00.000Z,School,light-blue,2021-05-04T22:00:00.000Z,false
day6 A,2021-05-05T22:00:00.000Z,School,light-blue,2021-05-05T22:00:00.000Z,false
day6 B,2021-05-06T22:00:00.000Z,School,light-blue,2021-05-06T22:00:00.000Z,false
day7 A,2021-05-09T22:00:00.000Z,School,light-blue,2021-05-09T22:00:00.000Z,false
day7 B,2021-05-10T22:00:00.000Z,School,light-blue,2021-05-10T22:00:00.000Z,false
day8 A,2021-05-11T22:00:00.000Z,School,light-blue,2021-05-11T22:00:00.000Z,false
day8 B,2021-05-12T22:00:00.000Z,School,light-blue,2021-05-12T22:00:00.000Z,false
day9 A,2021-05-13T22:00:00.000Z,School,light-blue,2021-05-13T22:00:00.000Z,false
day9 B,2021-05-16T22:00:00.000Z,School,light-blue,2021-05-16T22:00:00.000Z,false
day10 A,2021-05-17T22:00:00.000Z,School,light-blue,2021-05-17T22:00:00.000Z,false
day10 B,2021-05-18T22:00:00.000Z,School,light-blue,2021-05-18T22:00:00.000Z,false
day1 A,2021-05-19T22:00:00.000Z,School,light-blue,2021-05-19T22:00:00.000Z,false
day1 B,2021-05-20T22:00:00.000Z,School,light-blue,2021-05-20T22:00:00.000Z,false
day2 A,2021-05-23T22:00:00.000Z,School,light-blue,2021-05-23T22:00:00.000Z,false
day2 B,2021-05-24T22:00:00.000Z,School,light-blue,2021-05-24T22:00:00.000Z,false
day3 A,2021-05-25T22:00:00.000Z,School,light-blue,2021-05-25T22:00:00.000Z,false
